PersonID,DIV_CDE,DEGR_CDE,DEGREE_DESC,DTE_DEGR_CONFERRED,MAJOR_1,MAJOR_1_DESC
55228250,UG,BSW  ,Bachelor of Social Work,5/4/18,BSW,Social Work
47153820,UG,BA   ,Bachelor of Arts,5/4/18,BACOM,COMMUNICATION
44552340,UG,BS   ,Bachelor of Science,5/4/18,BSLDO,Organizational Leadership (SN)
84018760,UG,BS   ,Bachelor of Science,4/27/23,BSPSY,Psychology
84020090,UG,BSW  ,Bachelor of Social Work,12/10/21,BSW,Social Work
84022750,UG,BSW  ,Bachelor of Social Work,4/27/23,BSW,Social Work
74890970,UG,BS   ,Bachelor of Science,6/30/21,BSMLM,Ministerial Leadership: Christian Ministry (SN)
84030730,UG,BS   ,Bachelor of Science,3/18/22,BSHUS,Human Services (SN)
55582030,UG,BS   ,Bachelor of Science,4/26/19,BSLDR,Organizational Leadership
5503540,UG,BS   ,Bachelor of Science,4/26/19,BSN,Nursing
87809260,UG,BS   ,Bachelor of Science,4/27/23,BSBIM,Biology: Medical Sciences
82458670,UG,BS   ,Bachelor of Science,6/28/22,BSPMN,PRACTICAL MINISTRIES
87815910,UG,BS   ,Bachelor of Science,4/24/20,BSBPL,Business & Professional Leadership (SN)
61146750,UG,BS   ,Bachelor of Science,12/14/18,BSCHM,CHURCH MUSIC
61152070,UG,BS   ,Bachelor of Science,4/24/20,BSCOM,COMMUNICATION
61174680,UG,BS   ,Bachelor of Science,5/4/18,BSLDR,Organizational Leadership
125480180,UG,BS   ,Bachelor of Science,12/7/23,BSCJS,Criminal Justice & Legal Studies
81184530,UG,BS   ,Bachelor of Science,12/15/22,BSPCJ,Psychology & Criminal Justice
47092640,UG,BA   ,Bachelor of Arts,2/13/18,BAICS,INTERCULTURAL STUDIES
47093970,UG,BS   ,Bachelor of Science,12/13/19,ELEMK,Elementary Education
47095300,UG,BS   ,Bachelor of Science,12/14/18,BSINB,International Business
56595490,UG,BS   ,Bachelor of Science,4/26/19,BSPMN,PRACTICAL MINISTRIES
50466850,UG,BS   ,Bachelor of Science,4/24/20,BSMLM,Ministerial Leadership: Christian Ministry (SN)
4083100,UG,BS   ,Bachelor of Science,4/30/18,BSMED,MUSIC EDUCATION (K-12)
4995480,UG,BSW  ,Bachelor of Social Work,5/4/18,BSW,Social Work
5006120,UG,BS   ,Bachelor of Science,8/30/21,BSLDR,Organizational Leadership
45087000,UG,BS   ,Bachelor of Science,12/14/18,BSLDR,Organizational Leadership
84052010,UG,BS   ,Bachelor of Science,5/2/23,BSCRO,Criminal Justice (SN)
84054670,UG,BS   ,Bachelor of Science,4/27/23,BSSMC,SPORT MANAGEMENT: COACHING
84056000,UG,BS   ,Bachelor of Science,5/3/22,BSKOT,Kinesiology: Pre-Occupational Therapy
51161110,UG,BS   ,Bachelor of Science,4/30/18,ELEMK,Elementary Education
61205270,UG,BBA  ,Bachelor of Busi Admin,5/4/18,BBA,Business Administration (SN)
61243840,UG,BS   ,Bachelor of Science,4/24/20,BSCOM,COMMUNICATION
125759480,UG,BS   ,Bachelor of Science,12/12/23,BSMLM,Ministerial Leadership: Christian Ministry (SN)
125587910,UG,BS   ,Bachelor of Science,12/12/23,BPMCO,MINISTERIAL LEADERSHIP: CHRISTIAN MINISTRY (PA-O)
81215120,UG,BS   ,Bachelor of Science,12/8/22,BSPSY,Psychology
41219360,UG,BS   ,Bachelor of Science,3/31/21,BSPSO,PSYCHOLOGY (SN)
5570040,UG,BS   ,Bachelor of Science,4/26/19,ESED5,Exceptional Student Education 4/1
84081270,UG,BS   ,Bachelor of Science,5/3/23,BSGS,General Studies
